epoch,mse_loss
1,0.0583507
2,0.0146781
3,0.00974758
4,0.00496533
5,0.00270904
6,0.00163615
7,0.00125577
8,0.00108592
9,0.00086394
10,0.000967148
11,0.000847699
12,0.000933971
13,0.000760524
14,0.000986091
15,0.000768881
16,0.00078086
17,0.000765603
18,0.000797873
19,0.00082497
20,0.000747463
21,0.000706818
22,0.00120635
23,0.000728375
24,0.000699295
25,0.000822701
26,0.000904968
27,0.000943513
28,0.000854228
29,0.000794794
30,0.000741007
31,0.000755786
32,0.000575951
33,0.000654247
34,0.000677082
35,0.00060731
36,0.000665727
37,0.000541038
38,0.000604192
39,0.000513621
40,0.000721174
41,0.000836279
42,0.000595991
43,0.000451303
44,0.000544492
45,0.000539665
46,0.000502377
47,0.000513339
48,0.000418346
49,0.000438678
50,0.000444944
51,0.000557345
52,0.000696943
53,0.000490181
54,0.000386107
55,0.000443865
56,0.000594601
57,0.000435442
58,0.000270911
59,0.000295931
60,0.000321453
61,0.000725747
62,0.000412171
63,0.000330795
64,0.000364532
65,0.000268952
66,0.000407652
67,0.000372586
68,0.000296583
69,0.000297359
70,0.000291698
71,0.000210784
72,0.00033259
73,0.000315421
74,0.000340425
75,0.000315724
76,0.000353855
77,0.000271321
78,0.000231959
79,0.000270023
80,0.000213311
81,0.000299876
82,0.000234172
83,0.000331103
84,0.000224033
85,0.00058623
86,0.00023186
87,0.000190755
88,0.000182884
89,0.000270207
90,0.000236185
91,0.000232007
92,0.000191574
93,0.000346224
94,0.000300065
95,0.000223587
96,0.000227249
97,0.000244123
98,0.000184628
99,0.000281377
100,0.0001907
101,0.000222556
102,0.000183438
103,0.000226297
104,0.000387952
105,0.000198427
106,0.000285312
107,0.000177577
108,0.000217387
109,0.000233606
110,0.000118113
111,0.000141606
112,0.000164232
113,0.000243401
114,0.00029948
115,0.000202699
116,0.00014707
117,0.000275759
118,0.000221226
119,0.000184815
120,0.000158524
121,0.00012861
122,0.000170611
123,0.000198682
124,0.000276026
125,0.000269459
126,0.000181754
127,0.000115405
128,0.000257398
129,0.00028476
130,0.00023724
131,0.000116213
132,0.000124553
133,0.000166328
134,0.000114914
135,0.000115029
136,0.000117605
137,0.000104649
138,0.000156113
139,0.000171482
140,0.000243238
141,0.000119987
142,8.63516e-05
143,0.000115766
144,9.69044e-05
145,0.000136832
146,0.000121217
147,0.000144183
148,0.000117225
149,0.000122124
150,8.17842e-05
151,0.00012193
152,0.000222951
153,0.000101957
154,0.000298163
155,0.000133126
156,0.000181982
157,0.000200973
158,0.000121915
159,0.000133057
160,9.37309e-05
161,7.90606e-05
162,8.63333e-05
163,0.000137395
164,8.70275e-05
165,0.000184654
166,0.000243025
167,4.94595e-05
168,0.000133211
169,9.53128e-05
170,9.04515e-05
171,9.34493e-05
172,0.000129969
173,0.000168768
174,7.50822e-05
175,9.35499e-05
176,0.000107369
177,6.87627e-05
178,0.000102301
179,9.56251e-05
180,0.000201748
