controller,rise_time_s,overshoot_percent,settling_time_s,mse,iae,mean_abs_voltage_v,disturbance_max_abs_error
PID,0.49,2.02748,1.2,0.0200924,0.328727,10.3526,0.0129326
ML Neural Network,0.48,2.14322,1.28,0.020093,0.32937,10.3541,0.0127706
